run,experiment,config,create_ts,ready_ts,delta_ms,pod,status,scheduled_ms,pulled_ms,created_ms,started_ms,phase5_ms
1,cold-start,vanilla,1783666903289972000,1783666906563387000,3273,vanilla-run-1,ok,1000,2000,2000,2000,
2,cold-start,vanilla,1783666910585652000,1783666913459170000,2873,vanilla-run-2,ok,1000,1000,2000,2000,
3,cold-start,vanilla,1783666917471900000,1783666920300200000,2828,vanilla-run-3,ok,1000,1000,1000,1000,
4,cold-start,vanilla,1783666924323675000,1783666927264177000,2940,vanilla-run-4,ok,1000,1000,1000,1000,
5,cold-start,vanilla,1783666931307590000,1783666934177695000,2870,vanilla-run-5,ok,1000,1000,1000,1000,
6,cold-start,vanilla,1783666938230443000,1783666941106116000,2875,vanilla-run-6,ok,1000,1000,1000,1000,
7,cold-start,vanilla,1783666945165476000,1783666948100536000,2935,vanilla-run-7,ok,1000,1000,1000,1000,
8,cold-start,vanilla,1783666952178579000,1783666955071523000,2892,vanilla-run-8,ok,1000,1000,1000,1000,
9,cold-start,vanilla,1783666959125551000,1783666961989534000,2863,vanilla-run-9,ok,1000,1000,1000,1000,
10,cold-start,vanilla,1783666966078838000,1783666968958072000,2879,vanilla-run-10,ok,1000,1000,1000,1000,
